0,1,2,3,4,5,6,7,8,9,10,11,12
YHR137W,,,,,,,,,,,,
YDR127W,,,,,,,,,,,,
YHR163W,,,,,,,,,,,,
YIR027C,,,,,,,,,,,,
YLR351C,,,,,,,,,,,,
YDR452W,,,,,,,,,,,,
YDL205C,,,,,,,,,,,,
YDR380W,,,,,,,,,,,,
YEL039C,YDL174C,,,,,,,,,,,
YHR063C,,,,,,,,,,,,
YLR245C,,,,,,,,,,,,
YLR174W,,,,,,,,,,,,
YNR050C,,,,,,,,,,,,
YDR272W,,,,,,,,,,,,
YHR007C,YHR042W,,,,,,,,,,,
YER005W,,,,,,,,,,,,
YFR044C,,,,,,,,,,,,
YOR360C,,,,,,,,,,,,
YLR056W,,,,,,,,,,,,
YPL061W,,,,,,,,,,,,
YLR377C,,,,,,,,,,,,
YDR487C,,,,,,,,,,,,
YGL037C,,,,,,,,,,,,
YKL069W,,,,,,,,,,,,
YGR060W,,,,,,,,,,,,
YIR036C,,,,,,,,,,,,
YJR149W,,,,,,,,,,,,
YER163C,,,,,,,,,,,,
YLR299W,,,,,,,,,,,,
YBR295W,,,,,,,,,,,,
YJR048W,YEL071W,,,,,,,,,,,
YOR128C,,,,,,,,,,,,
YEL031W,,,,,,,,,,,,
YMR300C,,,,,,,,,,,,
YDL236W,,,,,,,,,,,,
YDL238C,,,,,,,,,,,,
YNL045W,,,,,,,,,,,,
YMR217W,,,,,,,,,,,,
YKL060C,,,,,,,,,,,,
YHR183W,,,,,,,,,,,,
YCL030C,,,,,,,,,,,,
YDR428C,,,,,,,,,,,,
YDR270W,,,,,,,,,,,,
YLR410W,,,,,,,,,,,,
YNL280C,,,,,,,,,,,,
YDR001C,,,,,,,,,,,,
YGL001C,,,,,,,,,,,,
YEL038W,YMR009W,,,,,,,,,,,
YLR446W,,,,,,,,,,,,
YGL253W,,,,,,,,,,,,
YDR321W,,,,,,,,,,,,
YMR020W,,,,,,,,,,,,
YBR166C,,,,,,,,,,,,
YOR323C,,,,,,,,,,,,
YGR267C,,,,,,,,,,,,
YLR011W,,,,,,,,,,,,
YNL191W,YBR281C,,,,,,,,,,,
YIR034C,,,,,,,,,,,,
YNL141W,,,,,,,,,,,,
YBL033C,,,,,,,,,,,,
YJR069C,,,,,,,,,,,,
YER043C,,,,,,,,,,,,
YAL012W,,,,,,,,,,,,
YBR046C,,,,,,,,,,,,
YOR163W,,,,,,,,,,,,
YFR025C,,,,,,,,,,,,
YOL064C,,,,,,,,,,,,
YEL039C,YEL071W,,,,,,,,,,,
YOL066C,,,,,,,,,,,,
YEL039C,YML054C,,,,,,,,,,,
YPR074C,,,,,,,,,,,,
