reaction,r_1589
r_0006,-0.9992984247670288
r_0070,
r_0094,
r_0099,
r_0200,
r_0461,
r_0465,
r_0484,
r_0500,
r_0695,
r_0970,-0.9992984247670287
r_0971,
r_0972,-0.9992984247670288
r_0973,-0.9992984247670287
r_1008,
r_1009,
r_2113,
r_2114,-0.9992984247670357
r_2213,
r_2214,
r_2215,
r_2216,
r_2217,
r_2218,
r_1028,
r_1096,
r_1097,
r_1098,
r_1099,-0.9992984247670288
r_1100,
r_1101,
r_1102,0.5222329678670935
r_1103,
r_1104,
r_1106,
r_1107,
r_1108,
r_1109,
r_1110,-0.43519413988924466
r_1111,
r_1112,
r_1113,
r_1114,
r_1115,-0.7930919949896418
r_1116,
r_1118,0.5222329678670935
r_1119,
r_1120,0.28154606952739225
r_1121,
r_1122,
r_1123,
r_1124,
r_1125,
r_1126,0.981017091037441
r_1127,
r_1128,
r_1129,-0.7942949345834096
r_1130,
r_1131,
r_1132,
r_1133,
r_1134,
r_1135,
r_1136,
r_1137,
r_1138,
r_1139,
r_1146,
r_1147,
r_1148,
r_1149,
r_1151,
r_1161,
r_1162,
r_1164,
r_1165,
r_1166,-0.5715641964446814
r_1167,
r_1169,
r_1170,
r_1171,
r_1172,
r_1173,
r_1174,
r_1175,
r_1176,
r_1177,
r_1179,0.08779866886438943
r_1180,
r_1181,
r_1182,
r_1183,
r_1184,
r_1185,
r_1186,
r_1187,
r_1188,
r_1189,
r_1190,
r_1191,
r_1192,
r_1193,
r_1194,-0.9770509220518332
r_1195,
r_1196,
r_1197,
r_1198,
r_1199,
r_1200,
r_1201,
r_1202,
r_1203,
r_1204,
r_1205,
r_1206,
r_1207,
r_1208,
r_1209,
r_1210,
r_1211,
r_1212,
r_1213,
r_1214,
r_1215,
r_1216,
r_1217,
r_1218,
r_1219,
r_1220,
r_1221,
r_1222,
r_1223,
r_1224,
r_1225,
r_1226,0.6410947789424929
r_1227,
r_1228,
r_1229,
r_1230,
r_1231,
r_1232,
r_1235,
r_1236,
r_1237,-0.9930406075146057
r_1238,
r_1239,-0.8634636484329238
r_1241,
r_1242,
r_1243,
r_1244,-0.7176338511055138
r_1245,
r_1249,-0.9992984247670287
r_1251,
r_1252,
r_1253,
r_1254,
r_1255,
r_1256,
r_1257,
r_1258,0.670915501441574
r_1260,
r_1261,
r_1262,
r_1263,
r_1264,-0.514290651558034
r_1265,-0.8021591443100352
r_1266,-0.9953037779254313
r_1267,-0.40618119722996154
r_1268,
r_1269,
r_1270,-0.5003295163670943
r_1271,
r_1272,
r_1273,
r_1274,
r_1275,
r_1276,
r_1277,
r_1278,
r_1657,
r_2034,-0.9059703137608113
r_2079,
r_2132,-0.9545374485655733
r_2219,
r_2220,
r_2221,
r_2222,-0.9992984247670288
r_2223,
r_2224,
r_2225,
r_2226,
r_2227,
r_2228,
r_1449,
r_1450,
r_1451,
r_1452,
r_1453,
r_1454,
r_1455,
r_1456,
r_1457,
r_1458,
r_1479,
r_1480,
r_1481,
r_1482,
r_1483,
r_1484,
r_1485,
r_1486,
r_1487,
r_1488,
r_1509,
r_1510,
r_1511,
r_1512,
r_1513,
r_1514,
r_1515,
r_1516,
r_1517,
r_1518,
r_3963,
r_3964,-0.9992984247670289
r_3965,
r_3966,
r_3967,
r_3968,
r_3969,
r_3970,
r_3971,
r_3972,-0.9992984247670289
r_3975,
r_3976,-0.9992984247670288
r_3977,
r_3978,
r_3979,
r_3980,-0.9992984247670287
r_3981,
r_3982,
r_3983,
r_3984,
r_3985,
r_3986,
r_3988,-0.9992984247670259
r_3989,-0.9992984247670539
r_3990,
r_3991,
r_3992,-0.9992984247670307
r_3993,
r_3994,-0.9992984247670037
r_3995,
r_3997,
r_3998,-0.9992984247670177
r_3999,-0.9992984247670339
r_4000,
r_4001,
r_4002,
r_4003,
r_4004,
r_4006,
r_4007,
r_4008,
r_4009,
r_4010,
r_4011,
r_4012,
r_4013,
r_4014,
r_4015,
r_4016,-0.9992984247670287
r_4017,
r_4018,
r_4019,
r_4020,
r_4021,
r_4022,
r_4023,
r_4024,
r_4025,
r_4026,
r_4027,
r_4028,
r_4029,
r_4030,
r_4031,
r_4032,
r_4033,
r_4034,
r_4035,
r_4036,
r_4037,
r_1542,
r_1543,
r_1545,
r_1546,
r_1547,
r_1548,
r_1549,
r_1550,
r_1551,
r_1552,
r_1553,
r_1554,
r_1560,
r_1562,
r_1563,
r_1564,
r_1565,
r_1566,
r_1567,
r_1568,
r_1572,
r_1573,
r_1574,0.8124801624668315
r_1575,
r_1576,
r_1577,
r_1578,
r_1579,
r_1580,
r_1581,
r_1582,
r_1583,
r_1585,0.30901619510846057
r_1586,
r_1587,
r_1588,
r_1589,1.0
r_1590,
r_1591,
r_1595,
r_1596,0.7333571984483384
r_1597,
r_1598,
r_1599,
r_1600,
r_1601,
r_1603,
r_1604,
r_1605,
r_1606,-0.2901294265928298
r_1607,
r_1608,
r_1609,
r_1610,
r_1611,
r_1613,0.12590405603653365
r_1614,
r_1615,
r_1616,
r_1617,
r_1618,-0.49530639625040085
r_1620,
r_1621,0.5222329678670935
r_1622,
r_1625,
r_1627,
r_1628,
r_1629,
r_1630,
r_1631,
r_1632,
r_1633,
r_1634,
r_1635,
r_1637,
r_1638,
r_1639,
r_1640,
r_1641,
r_1642,
r_1643,
r_1644,
r_1645,
r_1647,
r_1648,
r_1649,
r_1650,
r_1651,
r_1652,
r_1654,0.9408780489861168
r_1656,
r_1658,
r_1659,
r_1660,
r_1661,
r_1664,
r_1665,
r_1668,
r_1669,
r_1671,
r_1672,-0.7126648146652982
r_1673,
r_1674,
r_1675,
r_1676,
r_1677,
r_1678,
r_1679,
r_1680,
r_1681,
r_1682,-0.9992984247670287
r_1683,
r_1684,
r_1685,
r_1686,
r_1687,
r_1688,
r_1689,
r_1690,
r_1691,
r_1694,
r_1695,
r_1696,0.4197664906630912
r_1697,-0.7126648146652982
r_1698,
