Metabolite	Score	No. of reactions	No. of positive reactions	No. of negative reactions	candidate reactions	positive reactions	negative reactions	Positive score	Negative score
pmet_r_0001[c]	2.220446049250313e-16	4	2	0	r_0001No1;r_0001No3;r_0001No2;r_0001No4	r_0001No4;r_0001No3		1.2073850444025716	0.0
pmet_r_0002[m]	0.0	2	0	0	r_0002No1;r_0002No2			0.0	0.0
pmet_r_0004[c]	0.0	2	0	0	r_0004No1;r_0004No2			0.0	0.0
pmet_r_0005[c]	0.0	3	0	0	r_0005No3;r_0005No2;r_0005No1			0.0	0.0
pmet_r_0016[m]	0.0	2	0	0	r_0016No1;r_0016No2			0.0	0.0
pmet_r_0018[c]	0.0	3	0	0	r_0018No3;r_0018No2;r_0018No1			0.0	0.0
pmet_r_0018_REV[c]	9.71445146547012e-17	3	0	0	r_0018_REVNo2;r_0018_REVNo1;r_0018_REVNo3			0.0	0.0
pmet_r_0020[m]	0.0	2	0	0	r_0020No2;r_0020No1			0.0	0.0
pmet_r_0024[c]	0.0	2	0	0	r_0024No2;r_0024No1			0.0	0.0
pmet_r_0026[c]	0.0	4	0	0	r_0026No2;r_0026No4;r_0026No1;r_0026No3			0.0	0.0
pmet_r_0033[c]	0.0	2	0	0	r_0033No2;r_0033No1			0.0	0.0
pmet_r_0042[c]	0.0	2	0	0	r_0042No2;r_0042No1			0.0	0.0
pmet_r_0043[c]	0.0	2	0	0	r_0043No2;r_0043No1			0.0	0.0
pmet_r_0062[c]	0.0	3	0	0	r_0062No1;r_0062No3;r_0062No2			0.0	0.0
pmet_r_0064[c]	0.0	4	0	0	r_0064No2;r_0064No4;r_0064No3;r_0064No1			0.0	0.0
pmet_r_0073[c]	0.0	2	0	0	r_0073No2;r_0073No1			0.0	0.0
pmet_r_0073_REV[c]	0.0	2	0	0	r_0073_REVNo1;r_0073_REVNo2			0.0	0.0
pmet_r_0076[c]	0.0	2	0	0	r_0076No1;r_0076No2			0.0	0.0
pmet_r_0078[c]	0.0	2	0	0	r_0078No1;r_0078No2			0.0	0.0
pmet_r_0080[c]	0.0	2	0	0	r_0080No2;r_0080No1			0.0	0.0
pmet_r_0090[c]	0.0	2	0	0	r_0090No2;r_0090No1			0.0	0.0
pmet_r_0091[c]	0.0	2	0	1	r_0091No1;r_0091No2		r_0091No2	0.0	-0.6667655522861254
pmet_r_0092[c]	0.0	2	0	0	r_0092No2;r_0092No1			0.0	0.0
pmet_r_0092_REV[c]	0.0	2	0	0	r_0092_REVNo1;r_0092_REVNo2			0.0	0.0
pmet_r_0095[c]	0.0	3	0	0	r_0095No2;r_0095No3;r_0095No1			0.0	0.0
pmet_r_0097[m]	0.0	2	0	0	r_0097No1;r_0097No2			0.0	0.0
pmet_r_0112[c]	0.0	2	0	1	r_0112No2;r_0112No1		r_0112No2	0.0	-0.1855616219528862
pmet_r_0116[e]	0.0	4	0	0	r_0116No3;r_0116No2;r_0116No4;r_0116No1			0.0	0.0
pmet_r_0127[erm]	0.0	2	0	0	r_0127No2;r_0127No1			0.0	0.0
pmet_r_0127_REV[erm]	0.0	2	0	0	r_0127_REVNo1;r_0127_REVNo2			0.0	0.0
pmet_r_0132[erm]	0.0	2	0	0	r_0132No1;r_0132No2			0.0	0.0
pmet_r_0132_REV[erm]	0.0	2	0	0	r_0132_REVNo2;r_0132_REVNo1			0.0	0.0
pmet_r_0139[c]	0.0	2	0	0	r_0139No2;r_0139No1			0.0	0.0
pmet_r_0148[c]	0.0	2	0	1	r_0148No2;r_0148No1		r_0148No1	0.0	-1.1420329397854965
pmet_r_0158[c]	0.0	2	0	0	r_0158No2;r_0158No1			0.0	0.0
pmet_r_0159[c]	0.0	2	0	0	r_0159No2;r_0159No1			0.0	0.0
pmet_r_0160[c]	0.0	2	0	0	r_0160No1;r_0160No2			0.0	0.0
pmet_r_0161[c]	0.0	2	0	0	r_0161No1;r_0161No2			0.0	0.0
pmet_r_0162[c]	0.0	2	0	0	r_0162No2;r_0162No1			0.0	0.0
pmet_r_0164[c]	0.0	2	0	0	r_0164No1;r_0164No2			0.0	0.0
