,r_2051
pmet_r_0001[c],0.3286347381501857
pmet_r_0002[m],0.0
pmet_r_0004[c],0.0
pmet_r_0005[c],0.0230166095565279
pmet_r_0016[m],0.008089798514439
pmet_r_0018[c],0.0054099358734197
pmet_r_0018_REV[c],0.008370751018349
pmet_r_0020[m],0.0119616776427718
pmet_r_0024[c],0.0010678975712857
pmet_r_0026[c],0.0813421494694905
pmet_r_0033[c],0.0
pmet_r_0042[c],0.0
pmet_r_0043[c],0.0
pmet_r_0062[c],0.0
pmet_r_0064[c],0.0
pmet_r_0073[c],0.0
pmet_r_0073_REV[c],0.0
pmet_r_0076[c],1.3902844274348244e-05
pmet_r_0078[c],0.0
pmet_r_0080[c],0.0065610413971815
pmet_r_0090[c],0.0
pmet_r_0091[c],0.0536299402987753
pmet_r_0092[c],0.0
pmet_r_0092_REV[c],0.0
pmet_r_0095[c],0.0
pmet_r_0097[m],0.0242779198991774
pmet_r_0112[c],0.0285432254842758
pmet_r_0116[e],0.0
pmet_r_0127[erm],8.761835232358845e-05
pmet_r_0127_REV[erm],0.00022893560570352113
pmet_r_0132[erm],0.0
pmet_r_0132_REV[erm],0.0
pmet_r_0139[c],0.0
pmet_r_0148[c],0.1726451480220446
pmet_r_0158[c],0.0
pmet_r_0159[c],0.0006237141281693
pmet_r_0160[c],0.0
pmet_r_0161[c],0.0004573385897202
pmet_r_0162[c],0.0
pmet_r_0164[c],0.0
pmet_r_0165[m],0.1362609772082384
pmet_r_0166[c],0.0
pmet_r_0167[m],0.0
pmet_r_0168[c],0.0
pmet_r_0169[c],0.0
pmet_r_0170[m],0.0
pmet_r_0171[c],0.0
pmet_r_0172[c],0.0
pmet_r_0175[m],0.0064572790298913
pmet_r_0178[m],0.0
pmet_r_0179[c],0.0
pmet_r_0180[m],0.0
pmet_r_0181[c],0.0
pmet_r_0182[c],0.0
pmet_r_0183[m],0.0
pmet_r_0184[c],0.0
pmet_r_0185[c],0.0
pmet_r_0186[c],0.0
pmet_r_0187[m],0.0
pmet_r_0192[g],0.0
pmet_r_0193[v],0.0
pmet_r_0195[c],0.0066781970531389
pmet_r_0198[c],0.0
