0,1,2
YDR533C,,
YML004C,,
YPL280W,,
YPL091W,YER174C,
YGR124W,,
YKR076W,,
YLL015W,,
YLR438W,,
YDL171C,,
YDR272W,,
YPR145W,,
YKL026C,,
YGL202W,,
YNL333W,,
YFL060C,,
YOL049W,,
YDR135C,,
YBL039C,,
YOR375C,,
YOR391C,,
YAL062W,,
YJR109C,YJL130C,YOR303W
YPL091W,YDR098C,
YNR033W,,
YKL215C,,
YKL132C,,
YJR048W,,
YMR217W,,
YJL060W,,
YOR241W,,
YMR300C,,
YMR322C,,
YBR281C,YNL191W,
YGR061C,,
YPL091W,YDR513W,
YMR251W,,
YCL035C,,
YGL256W,,
YNL334C,,
YDR111C,,
YKL211C,YER090W,
YGR019W,,
YJL068C,,
YJR103W,,
YDR513W,,
YIR037W,,
YJR148W,,
YMR084W,,
YPL091W,YCL035C,
YNL229C,,
YFL059W,,
YBR248C,,
YBR244W,,
YEL071W,,
YKL104C,,
YER152C,,
YLR027C,,
YHR074W,,
