Negative metabolite	Positive metabolite	Negative score	Positive score
pmet_r_0004[c]	pmet_r_0001[c]	0.0	0.13767587239560236
pmet_r_0004[c]	prot_P00044[c]	0.0	0.13767587239560236
pmet_r_0004[c]	prot_P10127[c]	0.0	0.09635106099505096
pmet_r_0004[c]	prot_P39976[c]	0.0	0.13767587239560236
pmet_r_0004[c]	prot_P50107[c]	0.0	0.15158411795683127
pmet_r_0004[c]	prot_Q05584[c]	0.0	0.15158411795683127
pmet_r_0004[c]	s_0025[c]	0.0	0.15158411795683127
pmet_r_0004[c]	s_0033[c]	0.0	0.15158411795683127
pmet_r_0004[c]	s_0750[c]	0.0	0.15158411795683127
pmet_r_0004[c]	s_0991[c]	0.0	0.09839473610701112
pmet_r_0004[c]	s_1151[c]	0.0	0.15158411795683127
pmet_r_0005[c]	pmet_r_0001[c]	0.0	0.13767587239560236
pmet_r_0005[c]	prot_P00044[c]	0.0	0.13767587239560236
pmet_r_0005[c]	prot_P10127[c]	0.0	0.09635106099505096
pmet_r_0005[c]	prot_P39976[c]	0.0	0.13767587239560236
pmet_r_0005[c]	prot_P50107[c]	0.0	0.15158411795683127
pmet_r_0005[c]	prot_Q05584[c]	0.0	0.15158411795683127
pmet_r_0005[c]	s_0025[c]	0.0	0.15158411795683127
pmet_r_0005[c]	s_0033[c]	0.0	0.15158411795683127
pmet_r_0005[c]	s_0750[c]	0.0	0.15158411795683127
pmet_r_0005[c]	s_0991[c]	0.0	0.09839473610701112
pmet_r_0005[c]	s_1151[c]	0.0	0.15158411795683127
pmet_r_0018[c]	pmet_r_0001[c]	0.0	0.13767587239560236
pmet_r_0018[c]	prot_P00044[c]	0.0	0.13767587239560236
pmet_r_0018[c]	prot_P10127[c]	0.0	0.09635106099505096
pmet_r_0018[c]	prot_P39976[c]	0.0	0.13767587239560236
pmet_r_0018[c]	prot_P50107[c]	0.0	0.15158411795683127
pmet_r_0018[c]	prot_Q05584[c]	0.0	0.15158411795683127
pmet_r_0018[c]	s_0025[c]	0.0	0.15158411795683127
